Date,Temperature (°C),Humidity (%),Wind Speed (km/h),Hurricane
2021-08-20,30.5,75,100,0
2021-08-21,31.0,78,120,1
2021-08-22,32.0,70,90,0
2021-08-23,33.5,60,150,1
2021-08-24,30.0,85,80,0
2021-08-25,29.5,88,160,1
2021-08-26,28.0,80,70,0
2021-08-27,32.5,65,110,1
2021-08-28,31.0,72,140,1
2021-08-29,30.5,76,180,1
2021-08-30,29.0,82,95,0
2021-09-01,30.0,88,150,1
2021-09-02,29.5,77,120,0
2021-09-03,31.0,73,130,1
2021-09-04,32.0,66,85,0
2021-09-05,28.5,80,140,1
2021-09-06,27.0,90,100,0
2021-09-07,31.5,74,155,1
2021-09-08,30.0,81,125,0
2021-09-09,29.5,83,115,0
2021-09-10,30.0,79,160,1
2021-09-11,32.5,69,170,1
2021-09-12,31.0,70,150,1
2021-09-13,28.0,76,95,0
2021-09-14,30.5,78,120,1
2021-09-15,29.0,85,130,1
2021-09-16,33.0,68,140,1
2021-09-17,31.0,72,110,0
2021-09-18,30.0,80,95,0
2021-09-19,28.5,82,100,0
2021-09-20,30.0,86,175,1
2021-09-21,32.0,75,145,1
2021-09-22,31.5,80,150,1
2021-09-23,29.0,87,90,0
2021-09-24,30.5,81,110,1
2021-09-25,28.0,83,125,0
2021-09-26,32.5,71,160,1
2021-09-27,33.0,74,120,1
2021-09-28,30.0,79,135,1
2021-09-29,29.5,78,100,0
2021-09-30,31.0,76,165,1
2021-10-01,30.5,84,130,0
2021-10-02,28.0,80,140,1
2021-10-03,27.5,88,90,0
2021-10-04,30.0,75,115,0
2021-10-05,29.0,77,155,1
2021-10-06,32.5,70,145,1
2021-10-07,31.0,82,130,1
2021-10-08,30.0,89,85,0
2021-10-09,29.5,84,110,1
2021-10-10,30.0,78,125,1
2021-10-11 00:00:00,30.6,64,132,1
2021-10-12 00:00:00,31.5,79,172,1
2021-10-13 00:00:00,31.6,76,121,0
2021-10-14 00:00:00,31.2,66,173,1
2021-10-15 00:00:00,28.5,60,136,1
2021-10-16 00:00:00,31.8,70,124,1
2021-10-17 00:00:00,33.1,60,172,1
2021-10-18 00:00:00,30.5,88,73,0
2021-10-19 00:00:00,29.4,79,108,0
2021-10-20 00:00:00,30.5,62,140,1
2021-10-21 00:00:00,30.9,90,158,1
2021-10-22 00:00:00,32.4,73,102,0
2021-10-23 00:00:00,30.6,66,137,1
2021-10-24 00:00:00,30.4,61,113,1
2021-10-25 00:00:00,29.1,90,158,1
2021-10-26 00:00:00,30.2,63,174,1
2021-10-27 00:00:00,28.4,82,152,1
2021-10-28 00:00:00,30.4,89,118,0
2021-10-29 00:00:00,32.5,86,96,0
2021-10-30 00:00:00,28.5,64,177,1
2021-10-31 00:00:00,30.9,65,133,1
2021-11-01 00:00:00,32.1,65,79,0
2021-11-02 00:00:00,30.0,79,82,0
2021-11-03 00:00:00,29.7,84,151,1
2021-11-04 00:00:00,30.1,70,77,0
2021-11-05 00:00:00,32.0,74,107,0
2021-11-06 00:00:00,29.9,62,91,0
2021-11-07 00:00:00,32.4,66,110,0
2021-11-08 00:00:00,30.9,87,77,0
2021-11-09 00:00:00,31.2,77,86,0
2021-11-10 00:00:00,32.9,83,79,0
2021-11-11 00:00:00,32.5,60,93,0
2021-11-12 00:00:00,32.3,61,97,0
2021-11-13 00:00:00,32.0,63,160,1
2021-11-14 00:00:00,30.8,87,141,1
2021-11-15 00:00:00,33.5,72,168,1
2021-11-16 00:00:00,29.3,68,163,1
2021-11-17 00:00:00,28.1,72,98,0
2021-11-18 00:00:00,32.8,88,81,0
2021-11-19 00:00:00,32.6,76,97,0
2021-11-20 00:00:00,30.2,62,83,0
2021-11-21 00:00:00,30.4,63,79,0
2021-11-22 00:00:00,31.1,90,111,0
2021-11-23 00:00:00,28.9,80,180,1
2021-11-24 00:00:00,32.6,75,95,0
2021-11-25 00:00:00,29.7,71,167,1
2021-11-26 00:00:00,27.0,82,80,0
2021-11-27 00:00:00,28.8,86,93,0
2021-11-28 00:00:00,31.4,64,84,0
2021-11-29 00:00:00,33.1,64,133,1
2021-11-30 00:00:00,32.1,84,104,0
2021-12-01 00:00:00,29.9,70,155,1
2021-12-02 00:00:00,32.1,88,155,1
2021-12-03 00:00:00,34.8,62,80,0
2021-12-04 00:00:00,29.9,82,97,0
2021-12-05 00:00:00,29.5,72,174,1
2021-12-06 00:00:00,31.6,82,107,0
2021-12-07 00:00:00,30.5,76,143,1
2021-12-08 00:00:00,30.4,69,75,0
2021-12-09 00:00:00,31.9,69,87,0
2021-12-10 00:00:00,28.8,79,163,1
2021-12-11 00:00:00,30.7,65,104,0
2021-12-12 00:00:00,30.7,78,139,1
2021-12-13 00:00:00,32.7,63,158,1
2021-12-14 00:00:00,30.4,82,92,0
2021-12-15 00:00:00,31.1,74,167,1
2021-12-16 00:00:00,29.6,61,166,1
2021-12-17 00:00:00,29.7,60,144,1
2021-12-18 00:00:00,30.6,86,72,0
2021-12-19 00:00:00,30.8,71,152,1
2021-12-20 00:00:00,29.5,60,135,1
2021-12-21 00:00:00,30.3,65,71,0
2021-12-22 00:00:00,30.1,70,125,1
2021-12-23 00:00:00,28.0,81,95,0
2021-12-24 00:00:00,32.1,61,150,1
2021-12-25 00:00:00,28.7,75,79,0
2021-12-26 00:00:00,28.7,80,93,0
2021-12-27 00:00:00,29.7,74,72,0
2021-12-28 00:00:00,30.7,69,162,1
2021-12-29 00:00:00,30.2,62,161,1
2021-12-30 00:00:00,31.4,89,89,0
2021-12-31 00:00:00,29.9,80,127,0
2022-01-01 00:00:00,29.9,64,126,1
2022-01-02 00:00:00,31.3,67,139,1
2022-01-03 00:00:00,32.2,80,115,0
2022-01-04 00:00:00,30.0,67,175,1
2022-01-05 00:00:00,32.1,62,98,0
2022-01-06 00:00:00,30.3,69,84,0
2022-01-07 00:00:00,32.0,79,73,0
2022-01-08 00:00:00,29.1,82,78,0
2022-01-09 00:00:00,30.2,61,125,1
2022-01-10 00:00:00,31.0,89,149,1
2022-01-11 00:00:00,29.6,74,166,1
2022-01-12 00:00:00,34.2,69,91,0
2022-01-13 00:00:00,29.7,78,128,0
2022-01-14 00:00:00,31.5,73,106,0
2022-01-15 00:00:00,31.5,79,129,0
2022-01-16 00:00:00,31.6,60,148,1
2022-01-17 00:00:00,30.2,78,140,1
2022-01-18 00:00:00,33.5,69,120,1
2022-01-19 00:00:00,29.7,74,93,0
2022-01-20 00:00:00,33.1,85,96,0
2022-01-21 00:00:00,27.3,90,172,1
2022-01-22 00:00:00,29.2,67,148,1
2022-01-23 00:00:00,30.0,70,131,1
2022-01-24 00:00:00,30.4,62,175,1
2022-01-25 00:00:00,32.1,88,143,1
2022-01-26 00:00:00,30.4,76,107,0
2022-01-27 00:00:00,29.0,90,173,1
2022-01-28 00:00:00,27.5,66,162,1
2022-01-29 00:00:00,31.5,70,126,1
2022-01-30 00:00:00,26.1,61,104,0
2022-01-31 00:00:00,30.2,85,124,0
2022-02-01 00:00:00,31.8,75,171,1
2022-02-02 00:00:00,31.6,73,120,1
2022-02-03 00:00:00,30.8,78,121,0
2022-02-04 00:00:00,29.5,87,136,1
2022-02-05 00:00:00,29.4,77,158,1
2022-02-06 00:00:00,31.6,61,166,1
2022-02-07 00:00:00,32.7,88,84,0
2022-02-08 00:00:00,30.3,80,94,0
2022-02-09 00:00:00,34.1,78,170,1
2022-02-10 00:00:00,32.1,69,122,1
2022-02-11 00:00:00,29.8,60,134,1
2022-02-12 00:00:00,30.0,62,135,1
2022-02-13 00:00:00,30.8,68,110,0
2022-02-14 00:00:00,31.7,74,140,1
2022-02-15 00:00:00,31.4,84,147,1
2022-02-16 00:00:00,29.9,74,175,1
2022-02-17 00:00:00,29.7,75,82,0
2022-02-18 00:00:00,30.9,78,111,0
2022-02-19 00:00:00,32.4,66,91,0
2022-02-20 00:00:00,29.8,74,152,1
2022-02-21 00:00:00,33.0,88,148,1
2022-02-22 00:00:00,32.4,69,162,1
2022-02-23 00:00:00,32.2,87,152,1
2022-02-24 00:00:00,31.5,60,85,0
2022-02-25 00:00:00,34.2,64,114,1
2022-02-26 00:00:00,32.6,78,81,0
2022-02-27 00:00:00,30.5,78,81,0
2022-02-28 00:00:00,29.9,78,146,1
2022-03-01 00:00:00,31.0,63,148,1
2022-03-02 00:00:00,31.5,69,98,0
2022-03-03 00:00:00,31.5,62,73,0
2022-03-04 00:00:00,30.2,68,158,1
2022-03-05 00:00:00,31.4,85,91,0
2022-03-06 00:00:00,31.1,87,173,1
2022-03-07 00:00:00,32.0,77,82,0
2022-03-08 00:00:00,31.5,71,164,1
2022-03-09 00:00:00,31.3,60,128,1
2022-03-10 00:00:00,31.8,84,145,1
2022-03-11 00:00:00,28.5,63,154,1
2022-03-12 00:00:00,30.9,74,157,1
2022-03-13 00:00:00,30.5,72,175,1
2022-03-14 00:00:00,32.5,72,90,0
2022-03-15 00:00:00,31.7,70,81,0
2022-03-16 00:00:00,29.4,82,173,1
2022-03-17 00:00:00,31.7,62,143,1
2022-03-18 00:00:00,28.8,78,158,1
2022-03-19 00:00:00,31.3,66,137,1
2022-03-20 00:00:00,31.3,64,107,0
2022-03-21 00:00:00,31.7,60,179,1
2022-03-22 00:00:00,31.7,80,136,1
2022-03-23 00:00:00,31.3,82,80,0
2022-03-24 00:00:00,31.7,90,163,1
2022-03-25 00:00:00,32.9,74,144,1
2022-03-26 00:00:00,32.2,87,178,1
2022-03-27 00:00:00,30.5,60,171,1
2022-03-28 00:00:00,33.0,87,176,1
2022-03-29 00:00:00,28.2,85,89,0
2022-03-30 00:00:00,29.8,70,158,1
2022-03-31 00:00:00,29.6,85,176,1
2022-04-01 00:00:00,29.1,66,103,0
2022-04-02 00:00:00,31.2,86,82,0
2022-04-03 00:00:00,30.4,60,98,0
2022-04-04 00:00:00,29.0,76,138,1
2022-04-05 00:00:00,29.7,64,102,0
2022-04-06 00:00:00,28.4,63,139,1
2022-04-07 00:00:00,33.6,60,103,0
2022-04-08 00:00:00,29.7,71,118,1
2022-04-09 00:00:00,29.3,87,93,0
2022-04-10 00:00:00,30.5,71,124,1
2022-04-11 00:00:00,32.3,72,153,1
2022-04-12 00:00:00,31.9,69,145,1
2022-04-13 00:00:00,29.0,69,148,1
2022-04-14 00:00:00,30.7,83,165,1
2022-04-15 00:00:00,32.9,83,108,0
2022-04-16 00:00:00,30.4,79,122,0
2022-04-17 00:00:00,31.0,80,147,1
2022-04-18 00:00:00,31.5,72,122,1
2022-04-19 00:00:00,32.1,66,169,1
2022-04-20 00:00:00,30.6,68,146,1
2022-04-21 00:00:00,32.0,80,136,1
2022-04-22 00:00:00,30.3,86,153,1
2022-04-23 00:00:00,31.1,69,126,1
2022-04-24 00:00:00,30.2,75,178,1
2022-04-25 00:00:00,31.8,63,121,1
2022-04-26 00:00:00,29.3,61,101,0
2022-04-27 00:00:00,28.6,70,72,0
2022-04-28 00:00:00,31.0,71,139,1
2022-04-29 00:00:00,29.8,79,134,1
2022-04-30 00:00:00,30.5,70,135,1
2022-05-01 00:00:00,32.2,80,142,1
2022-05-02 00:00:00,29.9,80,174,1
2022-05-03 00:00:00,33.1,62,140,1
2022-05-04 00:00:00,29.4,88,105,0
2022-05-05 00:00:00,34.1,63,89,0
2022-05-06 00:00:00,33.2,75,99,0
2022-05-07 00:00:00,32.3,76,81,0
2022-05-08 00:00:00,31.4,73,119,1
2022-05-09 00:00:00,28.4,87,166,1
2022-05-10 00:00:00,31.9,85,101,0
2022-05-11 00:00:00,31.8,79,78,0
2022-05-12 00:00:00,30.8,90,106,0
2022-05-13 00:00:00,32.0,82,81,0
2022-05-14 00:00:00,29.7,81,91,0
2022-05-15 00:00:00,32.6,62,97,0
