Date,Temperature,Wind Speed,Humidity,Wildfire
01/07/2021,45,35,15,1
02/07/2021,42,40,12,1
03/07/2021,43,38,10,1
04/07/2021,38,20,30,0
05/07/2021,36,22,35,0
06/07/2021,35,25,40,0
07/07/2021,46,45,8,1
08/07/2021,44,42,9,1
09/07/2021,39,39,12,1
10/07/2021,37,30,28,0
11/07/2021,41,44,14,1
12/07/2021,40,43,13,1
13/07/2021,45,41,11,1
14/07/2021,43,38,10,1
15/07/2021,44,39,13,1
16/07/2021,37,27,32,0
17/07/2021,42,42,12,1
18/07/2021,43,43,9,1
19/07/2021,39,36,26,0
20/07/2021,36,25,30,0
21/07/2021,47,47,7,1
22/07/2021,46,46,8,1
23/07/2021,44,40,11,1
24/07/2021,43,38,12,1
25/07/2021,41,35,15,1
26/07/2021,38,20,34,0
27/07/2021,40,33,20,1
28/07/2021,39,28,29,0
29/07/2021,48,45,6,1
30/07/2021,47,43,9,1
31/07/2021,44,36,11,1
01/08/2021,42,40,13,1
02/08/2021,45,44,8,1
03/08/2021,39,24,27,0
04/08/2021,41,37,19,1
05/08/2021,36,25,33,0
06/08/2021,35,22,35,0
07/08/2021,38,23,31,0
08/08/2021,47,46,7,1
09/08/2021,43,41,14,1
10/08/2021,39,30,28,0
11/08/2021,42,39,18,1
12/08/2021,40,31,26,0
13/08/2021,37,26,30,0
14/08/2021,46,44,9,1
15/08/2021,44,42,10,1
16/08/2021,41,37,24,0
17/08/2021,36,24,32,0
18/08/2021,35,20,34,0
19/08/2021,43,38,12,1
